Votes12,Votes16,otherpres_shift,democratic_shift,republican_shift,state,county,fips,trump16,trump_zero,clinton16,clinton_zero,otherpres16,otherpres16_ 0,romney12,romney_zero,obama12,obama_zero,otherpres12,otherpres12_0,demsen16,repsen16,othersen16,demhouse16,rephouse16,otherhouse16,demgov16,repgov16,othergov16,repgov14,demgov14,othergov14,total_population,cvap,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc
35.062733130,23.915816327,1.435576138,-11.146916803,9.711340665,Pennsylvania,Sullivan,42113,2291,True,750,True,95,True,1868,True,1034,True,47,True,867,2020,206,786,2276,0,NA,NA,NA,1325,778,0,6302,5445,93.525864805,2.364328785,1.729609648,6.474135195,1.872421454,47.588067280,26.372580133,26.912091400,44926,8.894230769,10.957511689,84.488717219,10.305823209,84.331797235,100,8
38.433828419,27.158988496,2.788394125,-11.274839923,8.486445798,Pennsylvania,Susquehanna,42115,12891,True,5123,True,849,True,10800,True,6935,True,309,True,5535,11996,1716,5054,13839,0,NA,NA,NA,7790,4283,0,41832,33335,96.450086059,0.547427806,1.704436795,3.549913941,1.611206732,49.655765921,32.025721935,20.068368713,50160,7.375830277,11.104559748,83.251441300,10.741877804,83.239431868,84.029892056,6
31.504351917,21.287858117,2.626495395,-10.216493800,7.589998405,Pennsylvania,Tioga,42117,13614,True,3901,True,810,True,11342,True,5357,True,305,True,3992,13418,764,3812,14241,0,NA,NA,NA,7636,3448,0,42031,33390,96.319383312,0.523423188,1.244319669,3.680616688,1.172943780,50.410411363,36.061478433,19.585544003,48449,6.790092060,10.913368109,79.513143091,10.676855130,79.669809667,90.109811581,6
37.552249816,35.378978704,2.196015290,-2.173271112,-0.022744178,Pennsylvania,Union,42119,10622,True,6180,True,666,True,9896,True,6109,True,263,True,6092,10568,841,5992,11164,0,NA,NA,NA,5362,4784,0,45178,36095,84.339722874,6.412413121,5.693036434,15.660277126,3.222807561,44.862543716,38.151312586,16.074195405,51349,4.911793448,14.831804281,77.858025896,13.277363184,75.827891791,42.814870848,4
35.841566292,27.021586431,2.524053883,-8.819979861,6.295925978,Pennsylvania,Venango,42121,16021,True,6309,True,1018,True,13815,True,7945,True,407,True,6989,14581,1638,6086,16930,0,NA,NA,NA,7475,6053,0,53460,42435,96.127946128,0.729517396,1.060606061,3.872053872,0.746352413,50.787504676,32.850729517,19.943883277,43885,8.029721956,11.094130446,83.489613014,10.725099602,83.492695883,54.755928998,4
40.435863345,27.910382988,2.705383778,-12.525480357,9.820096578,Pennsylvania,Warren,42123,12477,True,5145,True,812,True,10010,True,6995,True,294,True,5124,12130,958,5139,12709,0,NA,NA,NA,5926,4754,0,40649,32415,97.013456666,0.460035917,0.998794558,2.986543334,1.180840857,49.905286723,32.168073015,20.679475510,44977,5.792023086,8.788574515,81.572017017,8.531362255,81.683476098,55.042448882,6
42.580474934,35.802858551,2.448410970,-6.777616383,4.329205413,Pennsylvania,Washington,42125,61386,True,36322,True,3742,True,53230,True,40345,True,1175,True,38133,56952,5824,8110,75676,0,NA,NA,NA,30279,28288,0,208269,165075,92.746880237,2.818470344,1.504304529,7.253119763,1.997896951,51.034959596,33.976732015,18.904397678,57534,6.172303042,8.245765106,71.862680462,7.773937213,71.658055090,30.824752189,1
38.857777572,29.178116413,1.731413832,-9.679661159,7.948247327,Pennsylvania,Wayne,42127,16244,True,7008,True,766,True,12896,True,8396,True,315,True,7487,14538,1803,6641,16679,0,NA,NA,NA,7603,6069,0,51307,41830,91.046056094,3.223731655,4.054027716,8.953943906,2.927475783,46.857153995,30.029040872,20.683337556,50595,7.443422914,10.121657026,79.486913439,8.989370772,78.465867106,88.093975995,6
37.578137900,32.775980357,2.087795265,-4.802157543,2.714362278,Pennsylvania,Westmoreland,42129,116522,True,59669,True,5860,True,103932,True,63722,True,1918,True,62981,107532,9745,22689,135374,0,NA,NA,NA,60678,45475,0,359377,289880,94.231684276,2.373830267,1.064341903,5.768315724,1.543782713,51.165489166,31.821457689,20.669380623,54142,5.292646761,6.976213738,73.094190860,6.739755358,73.006482822,25.363598772,1
42.629716981,28.994217894,1.886792453,-13.635499087,11.748706634,Pennsylvania,Wyoming,42131,8837,True,3811,True,496,True,6587,True,5061,True,224,True,4154,7844,1068,3980,9003,0,NA,NA,NA,4239,3399,0,27975,22165,95.874888293,0.868632708,1.780160858,4.125111707,1.276139410,49.773011618,35.145665773,18.373547811,53397,7.032308680,8.353633780,81.399715794,8.125553069,81.317994899,83.455934361,2
38.678532360,33.266338489,2.892377708,-5.412193871,2.519816163,Pennsylvania,York,42133,128528,True,68524,True,8934,True,113304,True,73191,True,2734,True,69394,126350,10271,62969,141076,0,NA,NA,NA,69055,52072,0,440604,334780,84.725513159,5.254605042,6.649735363,15.274486841,3.599150257,50.565133317,36.839883433,15.841662808,59853,6.240873568,11.463426648,76.884656432,10.252470139,76.296683963,24.720441776,2
